Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1971,11015853,191268.5,0.017363023,17.363023,,,,,,20439700,1.8554804,0,0,0,,,,191000,0.017338648,17.338648,191000,0.017338648,17.338648,,,,,,,,,,17.360931,47.56419404,104.843994,6.8559747,8.408077
,Afghanistan,1972,11286753,170956,0.015146606,15.146606,,,,,,19027400,1.685817,0,0,0,,,,171000,0.015150504,15.150504,171000,0.015150504,15.150504,,,,,,,,,,15.1446495,41.49219,91.81702,5.983581,7.3247285
,Afghanistan,1973,11575308,185106,0.015991453,15.991453,,,,,,20097400,1.7362303,0,0,0,,,,185000,0.015982296,15.982296,185000,0.015982296,15.982296,,,,,,,,,,15.9921465,43.81409956,96.138954,6.316226,7.7117915
,Afghanistan,1974,11869881,191306,0.016116926,16.116926,,,,,,20534500,1.7299668,0,0,0,,,,191000,0.016091147,16.091147,191000,0.016091147,16.091147,,,,,,,,,,16.120773,44.16650093,98.234344,6.3593817,7.8587475
,Afghanistan,1975,12157390,197928,0.016280469,16.280469,,,,,,21306100,1.7525226,0,0,0,,,,198000,0.01628639,16.28639,198000,0.01628639,16.28639,,,,,,,,,,16.28187,44.60786257,99.11601,6.411567,7.9396057
,Afghanistan,1976,12425276,222428,0.017901253,17.901253,,,,,,22848100,1.8388405,0,0,0,,,,222000,0.017866807,17.866807,222000,0.017866807,17.866807,,,,,,,,,,17.903635,49.0510543,111.31793,7.008907,8.977585
,Afghanistan,1977,12687308,228988,0.018048588,18.048588,,,,,,22835600,1.7998775,0,0,0,,,,229000,0.018049534,18.049534,229000,0.018049534,18.049534,,,,,,,,,,18.050116,49.45237211,113.00585,7.057729,9.153474
,Afghanistan,1978,12938864,234460,0.018120602,18.120602,,,,,,23607000,1.8245033,0,0,0,,,,234000,0.01808505,18.08505,234000,0.01808505,18.08505,,,,,,,,,,18.118439,49.63955841,113.240234,7.0698633,9.23265
,Afghanistan,1979,12986378,234718,0.01807417,18.07417,,,,,,24442100,1.8821337,0,0,0,,,,235000,0.018095884,18.095884,235000,0.018095884,18.095884,,,,,,,,,,18.079056,49.53165978,112.29228,7.064205,9.136508
,Afghanistan,1980,12486640,238810,0.019125242,19.125242,,,,,,24961500,1.9990566,0,0,0,,,,239000,0.019140458,19.140458,239000,0.019140458,19.140458,,,,,,,,,,19.126171,52.40046797,119.27468,7.4836946,9.636972
,Afghanistan,1981,11155196,245770,0.022031885,22.031885,,,,,,25881500,2.3201296,1000,8.96443E-05,0.08964432,,,,246000,0.022052504,22.052504,246000,0.022052504,22.052504,,,,,,,,,,22.080832,60.49542953,137.13359,8.634767,11.168252
,Afghanistan,1982,10088290,248550,0.024637476,24.637476,,,,,,26021500,2.5793767,0,0,0,,,,249000,0.024682082,24.682082,249000,0.024682082,24.682082,,,,,,,,,,24.67116,67.5922185,154.0382,9.643042,12.473337
,Afghanistan,1983,9951447,237481,0.023863968,23.863968,,,,,,25582000,2.5706813,0,0,0,,,,238000,0.02391612,23.91612,238000,0.02391612,23.91612,,,,,,,,,,23.889957,65.45193633,147.62074,9.349314,12.006488
,Afghanistan,1984,10243689,225941,0.022056606,22.056606,,,,,,25191000,2.4591727,1000,9.76211E-05,0.09762108,,,,227000,0.022159986,22.159986,227000,0.022159986,22.159986,,,,,,,,,,22.160385,60.71338295,136.54964,8.679002,11.051263
,Afghanistan,1985,10512220,208920,0.019874014,19.874014,,,,,,24322000,2.3136883,1000,9.51274E-05,0.09512738,,,,210000,0.01997675,19.97675,210000,0.01997675,19.97675,,,,,,,,,,19.971336,54.71598849,123.92977,7.797705,10.024055
,Afghanistan,1986,10448447,194840,0.018647747,18.647747,,,,,,23787000,2.2766063,2000,0.000191416,0.19141601,,,,197000,0.018854477,18.854477,197000,0.018854477,18.854477,,,,,,,,,,18.87339,51.70791729,116.40926,7.3725867,9.431306
,Afghanistan,1987,10322767,204440,0.019804768,19.804768,,,,,,24075000,2.3322234,3000,0.00029062,0.29061976,,,,207000,0.020052763,20.052763,207000,0.020052763,20.052763,,,,,,,,,,20.083822,55.02416931,124.318214,7.855625,10.00976
,Afghanistan,1988,10383459,213540,0.020565402,20.565402,,,,,,24359000,2.3459427,1000,9.6307E-05,0.09630702,,,,215000,0.02070601,20.70601,215000,0.02070601,20.70601,,,,,,,,,,20.661057,56.60563505,127.275505,8.092601,10.3199215
,Afghanistan,1989,10673172,221560,0.02075859,20.75859,,,,,,24532000,2.2984731,1000,9.36929E-05,0.093692855,,,,223000,0.020893507,20.893507,223000,0.020893507,20.893507,,,,,,,,,,20.857695,57.14436929,129.24414,8.174955,10.402577
,Afghanistan,1990,10694804,245052,0.022913182,22.913182,,,,,,24725000,2.3118703,0,0,0,,,,245000,0.02290832,22.90832,245000,0.02290832,22.90832,,,,,,,,,,22.924955,62.80809526,141.49852,9.027386,11.363757
,Afghanistan,1991,10745168,247044.94,0.022991259,22.991259,,,,,,24598000,2.289215,0,0,0,,,,248000,0.023080142,23.080142,248000,0.023080142,23.080142,,,,,,,,,,23.05219,63.1566843,140.84842,9.084723,11.37351
,Afghanistan,1992,12057436,242562.78,0.020117277,20.117277,,,,,,24158000,2.003577,1000,8.29364E-05,0.08293637,,,,246000,0.020402348,20.402348,246000,0.020402348,20.402348,,,,,,,,,,20.390205,55.86357478,123.71586,8.075896,9.862903
,Afghanistan,1993,14003764,251820.62,0.017982353,17.982353,,,,,,23958000,1.7108258,0,0,0,,,,256000,0.018280799,18.280799,256000,0.018280799,18.280799,,,,,,,,,,18.248451,49.99575566,109.44736,7.2603693,8.734117
,Afghanistan,1994,15455560,270378.47,0.01749393,17.49393,,,,,,23948000,1.5494747,0,0,0,,,,273000,0.017663546,17.663546,273000,0.017663546,17.663546,,,,,,,,,,17.663002,48.39178582,106.660645,7.0502687,8.436857
,Afghanistan,1995,16418911,287096.3,0.01748571,17.48571,,,,,,24940000,1.5189801,0,0,0,,,,289000,0.017601654,17.601654,289000,0.017601654,17.601654,,,,,,,,,,17.597878,48.2133639,104.966034,7.037009,8.333018
,Afghanistan,1996,17106600,312194.16,0.018249925,18.249925,,,,,,26613000,1.5557153,0,0,0,,,,310000,0.01812166,18.12166,310000,0.01812166,18.12166,,,,,,,,,,18.12801,49.66578033,109.80148,7.21245,8.741059
,Afghanistan,1997,17788818,341132,0.019176766,19.176766,,,,,,28886000,1.6238291,0,0,0,,,,339000,0.019056916,19.056916,339000,0.019056916,19.056916,,,,,,,,,,19.08642,52.29156112,115.48086,7.60249,9.174313
,Afghanistan,1998,18493134,371849.84,0.020107454,20.107454,,,,,,31271000,1.690952,0,0,0,,,,370000,0.020007426,20.007426,370000,0.020007426,20.007426,,,,,,,,,,20.03138,54.8804926,120.18828,7.9914665,9.583434
,Afghanistan,1999,19262854,366987.62,0.01905157,19.05157,,,,,,31050000,1.6119107,0,0,0,,,,365000,0.018948385,18.948385,365000,0.018948385,18.948385,,,,,,,,,,18.9672,51.96493099,115.172806,7.5433,9.151568
,Afghanistan,2000,19542986,320785.5,0.016414354,16.414354,,,,,,28522000,1.4594494,0,0,0,,,,319000,0.01632299,16.32299,319000,0.01632299,16.32299,,,,,,,,,,16.344915,44.78058859,98.00626,6.512674,7.7561946
,Afghanistan,2001,19688634,278743.34,0.014157577,14.1575765,,,,,,26620000,1.3520491,0,0,0,,,,277000,0.014069031,14.069031,277000,0.014069031,14.069031,,,,,,,,,,14.084803,38.58850098,85.65815,5.584044,6.8092813
,Afghanistan,2002,21000258,304321.2,0.014491307,14.491307,,,,,,38953000,1.854882,1000,4.76185E-05,0.04761846,,,,304000,0.014476012,14.476012,304000,0.014476012,14.476012,,,,,,,,,,14.495209,39.71290097,82.46727,5.8361454,6.375355
,Afghanistan,2003,22645136,298619.03,0.013186895,13.186895,,,,,,44581000,1.9686788,1000,4.41596E-05,0.044159595,,,,298000,0.013159559,13.159559,298000,0.013159559,13.159559,,,,,,,,,,13.168231,36.07734484,74.5179,5.2877083,5.7368574
,Afghanistan,2004,23553554,322976.88,0.013712447,13.712447,,,,,,48251000,2.0485656,7000,0.000297195,0.29719507,,,,329000,0.013968168,13.968168,329000,0.013968168,13.968168,,,,,,,,,,13.96053,38.24802701,78.521614,5.588291,6.0573816
,Afghanistan,2005,24411196,318614.72,0.013051991,13.051991,,,,,,50205000,2.0566382,30000,0.001228944,1.2289443,,,,348000,0.014255754,14.255754,348000,0.014255754,14.255754,,,,,,,,,,14.26815,39.09082153,78.418816,5.6624494,6.059635
,Afghanistan,2006,25442946,272400,0.010706307,10.706307,,,,,,39271700,1.5435202,15000,0.000589554,0.5895544,,,,287000,0.01128014,11.28014,287000,0.01128014,11.28014,,,,,,,,,,11.292855,30.93932846,62.458256,4.5030384,4.8254037
,Afghanistan,2007,25903306,267240,0.01031683,10.31683,,,,,,29592100,1.1424063,15000,0.000579077,0.57907664,,,,282000,0.010886641,10.886641,282000,0.010886641,10.886641,,,,,,,,,,10.894277,29.84733395,61.032364,4.363814,4.7096643
,Afghanistan,2008,26427204,294060,0.01112717,11.12717,,,,,,35390000,1.3391504,34000,0.001286553,1.2865531,,,,328000,0.012411453,12.411453,328000,0.012411453,12.411453,,,,,,,,,,12.428057,34.04947089,69.556206,4.9303074,5.3190036
,Afghanistan,2009,27385310,304340,0.011113257,11.113257,,,,,,34902000,1.2744789,24000,0.000876382,0.8763823,,,,329000,0.01201374,12.01374,329000,0.01201374,12.01374,,,,,,,,,,11.99975,32.87602707,68.80127,4.7553816,5.342216
,Afghanistan,2010,28189672,328160,0.011641143,11.641143,,,,,,46249800,1.6406647,41000,0.001454433,1.4544334,,,,351000,0.012451368,12.451368,351000,0.012451368,12.451368,,,,,,,,,,12.439999,34.0821887,63.999996,5.5199995,4.6299996
,Afghanistan,2011,29249156,335664,0.011476023,11.476023,,,,,,43506500,1.4874446,54000,0.001846207,1.8462071,,,,343000,0.011726834,11.726834,343000,0.011726834,11.726834,,,,,,,,,,11.730001,32.13698872,60.000008,5.200001,4.3700004
,Afghanistan,2012,30466484,330600,0.010851269,10.851269,,,,,,42132000,1.3828967,36000,0.001181626,1.1816263,,,,361000,0.011849087,11.849087,361000,0.011849087,11.849087,,,,,,,,,,11.849999,32.46575036,59.999992,5.2699995,4.3599997
,Afghanistan,2013,31541216,322110,0.010212352,10.212352,,,,,,43789000,1.3883104,54000,0.001712046,1.7120456,,,,374000,0.011857501,11.857501,374000,0.011857501,11.857501,,,,,,,,,,11.869998,32.52054214,59.99999,5.289999,4.3499994
,Afghanistan,2014,32716214,311019.7,0.009506592,9.506592,,,,,,41984780,1.2833018,66000,0.002017348,2.0173483,0,0,0,413000,0.01262371,12.62371,413000,0.01262371,12.62371,,,,,,,,,,12.619999,34.57533938,64.99999,5.5999994,4.6699996
,Afghanistan,2015,33753500,302781.28,0.008970367,8.970367,,,,,,41734200,1.2364408,59000,0.001747967,1.7479669,0,0,0,369000,0.0109322,10.9322,369000,0.0109322,10.9322,,,,,,,,,,10.93,29.94520518,55,4.87,3.99
,Afghanistan,2016,34636212,295536.47,0.008532587,8.5325865,,,,,,41223228,1.1901772,45000,0.001299218,1.2992183,0,0,0,362000,0.010451489,10.451489,362000,0.010451489,10.451489,,,,,,,,,,10.45,28.6301367,53,4.67,3.77
,Afghanistan,2017,35643420,313220.84,0.008787621,8.787621,,,,,,45782644,1.2844627,39000,0.001094171,1.0941711,0,0,0,339000,0.009510872,9.510872,339000,0.009510872,9.510872,,,,,,,,,,9.520001,26.08219426,48.000004,4.25,3.4500003
,Afghanistan,2018,36686788,293127.78,0.007990009,7.990009,,,,,,43686560,1.1907982,31000,0.000844991,0.84499083,0,0,0,323000,0.00880426,8.80426,323000,0.00880426,8.80426,,,,,,,,,,8.799998,24.10958332,44.999992,3.9399993,3.2099996
,Afghanistan,2019,37769496,296975.9,0.007862851,7.862851,,,,,,44789770,1.1858715,51000,0.001350296,1.350296,0,0,0,316000,0.00836654,8.36654,316000,0.00836654,8.36654,,,,,,,,,,8.370001,22.93150936,41.000004,3.7400005,2.9200003
,Afghanistan,2020,38972236,288320.22,0.007398093,7.3980927,,,,,,45613932,1.1704212,48000,0.001231646,1.231646,0,0,0,360000,0.009237345,9.237345,360000,0.009237345,9.237345,,,,,,,,,,9.229999,25.28766824,46.999992,4.0999994,3.3799996
,Afghanistan,2021,40099460,279043.03,0.006958773,6.958773,,,,,,46490628,1.1593829,39000,0.000972582,0.9725817,0,0,0,350000,0.008728297,8.728297,350000,0.008728297,8.728297,,,,,,,,,,8.74,23.94520524,44,3.9,3.2
,Afghanistan,2022,41128772,271641.25,0.006604652,6.6046524,,,,,,46667796,1.1346751,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1961,291178000,3681130.5,0.013027121,13.027121,,,,,,470947330,1.6671582,114000,0.000440552,0.44055225,106000,0.00041443,0.41442964,3413000,0.013189516,13.189516,3406000,0.013162465,13.162465,2000,0.00011772,0.11771999,5000,4.92879E-05,0.049287875,,,,13.163794,36.06518868,65.66282,5.1768074,4.826825
,Africa,1962,298334460,3723203,0.012867722,12.867722,,,,,,487314500,1.6847447,85000,0.000320881,0.3208812,116000,0.000442997,0.44299717,3410000,0.012872999,12.872999,3401000,0.012839022,12.839022,2000,0.000114265,0.114265225,4000,3.85597E-05,0.03855972,,,,12.841958,35.18344622,63.782055,5.0503683,4.681383
,Africa,1963,305755600,3814578.2,0.012871399,12.871399,,,,,,499079070,1.6845804,67000,0.000246998,0.2469976,120000,0.000447486,0.44748595,3452000,0.012725906,12.725906,3443000,0.012692727,12.692727,2000,0.000110851,0.11085109,4000,3.76912E-05,0.03769121,,,,12.69787,34.78868458,62.97717,4.992114,4.6201534
,Africa,1964,313466080,3964164,0.013055858,13.055858,,,,,,522964350,1.7229519,63000,0.000226755,0.2267549,144000,0.00052421,0.52421045,3563000,0.012824249,12.824249,3554000,0.012791856,12.791856,1000,5.37545E-05,0.05375448,5000,4.60334E-05,0.046033423,,,,12.797229,35.06090102,63.385525,5.0213723,4.655306
,Africa,1965,321447400,4089965.5,0.013144894,13.144894,,,,,,544784830,1.7515168,66000,0.000231876,0.2318759,155000,0.00055069,0.5506901,3686000,0.012949918,12.949918,3678000,0.012921812,12.921812,1000,5.21181E-05,0.052118085,6000,5.39591E-05,0.05395913,,,,12.925561,35.41249554,64.23111,5.072055,4.7170897
,Africa,1966,329658400,4226775.5,0.013253474,13.253474,,,,,,574247000,1.8012573,92000,0.000315411,0.31541128,191000,0.000662114,0.662114,3827000,0.013120424,13.120424,3819000,0.013092997,13.092997,1000,5.05312E-05,0.050531155,5000,4.39008E-05,0.043900753,,,,13.089556,35.8617969,65.00476,5.1378694,4.7727795
,Africa,1967,338159970,4305400,0.013167648,13.167648,,,,,,603499300,1.8464283,75000,0.000250859,0.25085945,171000,0.000578279,0.5782794,3935000,0.013161759,13.161759,3927000,0.013135001,13.135001,1000,4.8994E-05,0.048993952,5000,4.28465E-05,0.042846517,,,,13.133121,35.98115306,65.02357,5.1495595,4.766913
,Africa,1968,346980400,4461263,0.013305412,13.305412,,,,,,633135360,1.8890023,73000,0.000238159,0.238159,154000,0.000507937,0.5079369,4099000,0.013372791,13.372791,4092000,0.013349954,13.349954,1000,4.75047E-05,0.04750472,4000,3.34504E-05,0.033450407,,,,13.359186,36.60050922,66.40671,5.2422953,4.865709
,Africa,1969,356070660,4665464,0.013566714,13.566714,,,,,,674058100,1.9608673,80000,0.000254516,0.25451573,150000,0.000482418,0.48241817,4266000,0.013572051,13.572051,4260000,0.013552962,13.552962,1000,0.000046074,0.046074,4000,3.26341E-05,0.032634136,,,,13.544928,37.10939141,67.1983,5.301639,4.9485207
,Africa,1970,365450430,4764324,0.013506836,13.506836,,,,,,706473500,2.0036693,88000,0.000272981,0.27298092,180000,0.000564407,0.5644066,4326000,0.013419494,13.419494,4320000,0.013400882,13.400882,1000,4.47061E-05,0.044706114,4000,3.18265E-05,0.031826523,,,,13.396113,36.70167909,66.2911,5.249959,4.86572
,Africa,1971,375086300,4826966.5,0.013341402,13.341402,,,,,,735502850,2.033746,85000,0.000257084,0.25708356,209000,0.000638898,0.63889823,4351000,0.013159653,13.159653,4344000,0.013138481,13.138481,1000,4.34189E-05,0.043418895,4000,3.10316E-05,0.03103162,,,,13.145066,36.01387909,64.98969,5.139336,4.759318
,Africa,1972,384930780,4982028.5,0.013425588,13.425588,,,,,,776556200,2.0935986,93000,0.000274182,0.27418247,234000,0.000697203,0.69720316,4482000,0.013213827,13.213827,4475000,0.013193189,13.193189,1000,4.21967E-05,0.04219674,5000,3.78066E-05,0.03780656,,,,13.201516,36.16853662,65.305595,5.149383,4.808455
,Africa,1973,395212400,5046381.5,0.013252169,13.252169,,,,,,811946800,2.1332257,92000,0.000264258,0.26425847,241000,0.000699532,0.6995322,4542000,0.013046326,13.046326,4535000,0.01302622,13.02622,1000,4.1013E-05,0.041012998,5000,3.68224E-05,0.03682244,,,,13.0202675,35.6719654,64.49812,5.078169,4.7537665
,Africa,1974,406069220,5063605.5,0.012948953,12.948953,,,,,,842829700,2.1563897,88000,0.000246154,0.246154,202000,0.000570955,0.5709551,4566000,0.012772037,12.772037,4562000,0.012760848,12.760848,1000,3.98772E-05,0.03987715,6000,4.30027E-05,0.04300273,,,,12.758876,34.95582431,63.172657,4.986709,4.639094
,Africa,1975,417557000,5110414,0.012714929,12.714929,,,,,,885639400,2.204653,108000,0.000293909,0.29390925,161000,0.000442723,0.44272272,4688000,0.012757838,12.757838,4683000,0.012744231,12.744231,1000,3.87928E-05,0.03879282,6000,4.17645E-05,0.041764513,,,,12.7502575,34.93221198,62.726772,4.9816837,4.5897393
,Africa,1976,429573250,5373035.5,0.012999626,12.999626,,,,,,949078500,2.2974935,162000,0.000428641,0.4286408,196000,0.000524013,0.5240126,4945000,0.013084129,13.0841285,4938000,0.013065607,13.065607,1000,3.77639E-05,0.037763926,7000,4.72568E-05,0.047256824,,,,13.06982,35.80772567,64.33048,5.103497,4.713093
,Africa,1977,441701760,5635654,0.013263187,13.263187,,,,,,998458900,2.3512158,207000,0.000532721,0.5327208,195000,0.00050707,0.50707016,5216000,0.013423535,13.423535,5209000,0.013405521,13.4055205,1000,3.67649E-05,0.036764915,6000,3.93224E-05,0.039322396,,,,13.398756,36.70892018,65.45792,5.228346,4.7899537
,Africa,1978,454463040,5932824.5,0.013578231,13.5782305,,,,,,1047954600,2.3999434,215000,0.000538513,0.53851266,171000,0.000432774,0.43277376,5515000,0.013813476,13.813476,5506000,0.013790934,13.790934,1000,3.57866E-05,0.035786557,6000,3.82123E-05,0.03821229,,,,13.793882,37.79145716,67.21827,5.380736,4.9037786
,Africa,1979,467976260,6083192.5,0.01353032,13.53032,,,,,,1095720100,2.4387584,224000,0.000546168,0.54616836,203000,0.000500107,0.50010683,5601000,0.013656647,13.656647,5592000,0.013634703,13.634703,1000,3.48468E-05,0.034846827,6000,3.71245E-05,0.037124457,,,,13.637545,37.36313661,66.37263,5.31667,4.835035
,Africa,1980,481543140,6271829.5,0.01356046,13.56046,,,,,,1145927000,2.4793715,315000,0.000747501,0.7475007,152000,0.000364414,0.36441392,5946000,0.014109965,14.109965,5938000,0.014090981,14.090981,1000,3.39402E-05,0.033940247,6000,3.59993E-05,0.03599934,,,,14.090968,38.60539139,68.31532,5.496775,4.9836125
,Africa,1981,495655680,6368896.5,0.013382924,13.382924,,,,,,1221891700,2.5693965,411000,0.000947787,0.94778725,113000,0.000263244,0.2632435,6127000,0.014129179,14.129179,6117000,0.014106118,14.106118,1000,3.30769E-05,0.033076918,6000,3.49117E-05,0.034911685,,,,14.102664,38.63743523,68.30178,5.493704,4.9582114
,Africa,1982,510540600,6649559,0.013581581,13.581581,,,,,,1304737700,2.666833,392000,0.0008784,0.87840046,100000,0.000226348,0.22634835,6454000,0.014462236,14.462236,6444000,0.014439828,14.439828,1000,3.22348E-05,0.032234755,6000,3.3899E-05,0.03389899,,,,14.442533,39.56858317,70.19899,5.627668,5.108871
,Africa,1983,525335360,6924192.5,0.013745112,13.745112,,,,,,1424398800,2.8296185,414000,0.000901721,0.90172095,118000,0.000259591,0.259591,6701000,0.014595247,14.595247,6693000,0.014577822,14.577822,1000,3.13822E-05,0.03138222,7000,3.84535E-05,0.03845352,,,,14.576021,39.93430371,70.1682,5.67204,5.1016107
,Africa,1984,540183100,7136642.5,0.013777945,13.777945,,,,,,1534296700,2.9642882,474000,0.001004362,1.0043622,117000,0.000250383,0.25038293,6867000,0.01455054,14.55054,6860000,0.014535707,14.535707,1000,3.05174E-05,0.030517387,7000,3.73986E-05,0.037398608,,,,14.536497,39.82601878,70.18965,5.6374073,5.118299
,Africa,1985,555653000,7286640.5,0.013683616,13.683616,,,,,,1585121400,2.9789486,441000,0.000909233,0.90923306,110000,0.000229039,0.22903878,7057000,0.014549791,14.549791,7049000,0.014533297,14.533297,1000,2.9627E-05,0.029627028,8000,4.15246E-05,0.04152464,,,,14.537259,39.82810645,70.475006,5.6392508,5.1362677
,Africa,1986,571646800,7328864,0.013378728,13.378728,,,,,,1674808700,3.0597072,498000,0.000998273,0.9982727,101000,0.000204455,0.20445524,7169000,0.014370716,14.370716,7162000,0.014356684,14.356684,1000,2.86715E-05,0.0286715,7000,3.53023E-05,0.03530225,,,,14.353834,39.32557221,69.10274,5.5675793,5.032649
,Africa,1987,588080000,7537350.5,0.013369354,13.369354,,,,,,1775865100,3.1524646,518000,0.001009088,1.0090875,100000,0.000196716,0.19671598,7401000,0.014417484,14.417484,7391000,0.014398004,14.398004,1000,2.7686E-05,0.027686008,7000,3.43065E-05,0.034306533,,,,14.397418,39.44498043,69.47037,5.573902,5.057603
,Africa,1988,604511550,7716085.5,0.013303504,13.303504,,,,,,1800799500,3.1073895,530000,0.0010033,1.0032998,79000,0.00015101,0.15101035,7551000,0.014294184,14.294184,7544000,0.014280933,14.280933,1000,2.67424E-05,0.026742367,7000,3.3348E-05,0.033348017,,,,14.280226,39.12390646,69.00905,5.5210805,5.0302286
,Africa,1989,621167940,8004047,0.013416825,13.416825,,,,,,1874873200,3.1455135,434000,0.000798354,0.79835416,75000,0.000139306,0.1393059,7760000,0.014274719,14.274719,7753000,0.014261843,14.261843,1000,2.58607E-05,0.02586072,7000,3.24197E-05,0.03241968,,,,14.2614355,39.07242564,69.16157,5.5049634,5.063369
,Africa,1990,638157600,8402362,0.013702483,13.702483,,,,,,2023148300,3.302437,420000,0.000751522,0.75152214,82000,0.000148162,0.14816248,8143000,0.014570583,14.570583,8134000,0.014554478,14.554478,1000,2.50768E-05,0.025076755,7000,3.15379E-05,0.031537907,,,,14.554883,39.87639138,70.43847,5.617198,5.1375413
,Africa,1991,655040900,9058288,0.01437746,14.37746,,,,,,2068073700,3.2857575,461000,0.000802437,0.80243713,88000,0.000154656,0.15465601,8363000,0.014557011,14.5570105,8355000,0.014543085,14.543085,1000,2.44433E-05,0.024443325,8000,3.51194E-05,0.035119352,,,,14.53895,39.83273933,70.02542,5.6153,5.101981
,Africa,1992,671931840,9274582,0.014340929,14.340929,,,,,,2098088100,3.2473218,547000,0.000927025,0.92702504,103000,0.000176186,0.176186,8612000,0.014595137,14.595137,8602000,0.01457819,14.57819,1000,2.39459E-05,0.023945926,8000,3.42606E-05,0.034260636,,,,14.580907,39.94769001,70.555435,5.6261897,5.148144
,Africa,1993,689140300,9116429,0.013778404,13.778404,,,,,,2077530800,3.1428456,517000,0.000859366,0.8593661,137000,0.000229817,0.22981733,8468000,0.014075652,14.075652,8459000,0.014060692,14.060692,1000,2.35153E-05,0.023515333,8000,3.34551E-05,0.03345509,,,,14.060497,38.5219092,68.63725,5.430706,5.0246797
